anime_id,title,type,source,episodes,airing,rating,score,scored_by,members,favorites,related,studio,duration_min,aired_initial_year,aired_final_year,Comedy,Supernatural,Romance,Shounen,Parody,School,Magic,Shoujo,Drama,Fantasy,Kids,Action,Music,SliceofLife,Josei,Harem,ShounenAi,Adventure,SuperPower,Sci-Fi,Ecchi,Seinen,MartialArts,Game,Sports,Demons,Historical,Horror,Mystery,Psychological,Vampire,Mecha,Military,Space,Samurai,Thriller,Hentai,Yaoi,ShoujoAi,Police,Cars,Dementia,Yuri
11013,Inu x Boku SS,TV,Manga,12,False,PG-13,7.63,139250,283882,2809,{'Sequel': [13403]},David Production,24.0,2012,2012,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,Seto no Hanayome,TV,Manga,26,False,PG-13,7.89,91206,204003,2579,"{'Adaptation': [759], 'Sequel': [4163], 'Side story': [5199]}",Gonzo,24.0,2007,2007,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5262,Shugo Chara!! Doki,TV,Manga,51,False,PG,7.55,37129,70127,802,"{'Adaptation': [101], 'Prequel': [2923], 'Sequel': [7082]}",Satelight,24.0,2008,2009,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,Princess Tutu,TV,Original,38,False,PG-13,8.21,36501,93312,3344,{'Adaptation': [1581]},Hal Film Maker,16.0,2002,2003,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12365,Bakuman. 3rd Season,TV,Manga,25,False,PG-13,8.67,107767,182765,2082,{'Prequel': [10030]},J.C.Staff,24.0,2012,2013,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6586,Yume-iro Pâtissière,TV,Manga,50,False,G,8.03,21618,45625,826,"{'Side story': [8894], 'Sequel': [9441]}","Studio Pierrot, Studio Hibari",24.0,2009,2010,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Ultra Maniac,TV,Manga,26,False,G,7.26,9663,22778,122,{'Adaptation': [956]},Production Reed,24.0,2003,2003,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2787,Shakugan no Shana II (Second),TV,Light novel,24,False,PG-13,7.72,126085,220591,1075,"{'Prequel': [355], 'Sequel': [6572]}",J.C.Staff,24.0,2007,2008,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4477,Nodame Cantabile: Paris-hen,TV,Manga,11,False,PG-13,8.24,53908,85660,282,"{'Adaptation': [419], 'Prequel': [1698], 'Sequel': [8038]}",J.C.Staff,23.0,2008,2008,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,Ouran Koukou Host Club,TV,Manga,26,False,PG-13,8.34,335137,538843,24072,{'Adaptation': [30]},Bones,23.0,2006,2006,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4814,Junjou Romantica 2,TV,Manga,12,False,PG-13,8.15,66565,108186,1123,"{'Prequel': [3092], 'Sequel': [25649]}",Studio Deen,24.0,2008,2008,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
